priority_tier,priority_score,subsystem,source_file,interface_name,interface_iid,interface_version,inherited_interface,vtable_slot,method_name,complete_signature,return_type,parameters,idl_attributes,current_xodus_implementation_state,implementation_markers,queryinterface_e_no_interface,public_microsoft_documentation_url,observed_on_windows,games_seen_in,issue_references,kind
0,1000,runtime,xgameruntime.spec,,,,,,DllCanUnloadNow,export DllCanUnloadNow(),unknown_from_spec,[],[],not_found_in_current_source,[],False,,False,[],"[{""number"": 11, ""title"": ""GDK Integration Progress."", ""url"": ""https://github.com/xodus-gaming/xgameruntime/issues/11""}]",runtime_export
0,1000,runtime,main.c,,,,,,InitializeApiImpl,export InitializeApiImpl(long long),unknown_from_spec,[],[],implemented,[],False,https://learn.microsoft.com/gaming/gdk/docs/reference/system/initializeapiimpl,False,[],"[{""number"": 11, ""title"": ""GDK Integration Progress."", ""url"": ""https://github.com/xodus-gaming/xgameruntime/issues/11""}]",runtime_export
0,1000,runtime,main.c,,,,,,InitializeApiImplEx,export InitializeApiImplEx(long long long),unknown_from_spec,[],[],implemented,[],False,https://learn.microsoft.com/gaming/gdk/docs/reference/system/initializeapiimpl,False,[],"[{""number"": 11, ""title"": ""GDK Integration Progress."", ""url"": ""https://github.com/xodus-gaming/xgameruntime/issues/11""}]",runtime_export
0,1000,runtime,main.c,,,,,,InitializeApiImplEx2,export InitializeApiImplEx2(long long long ptr),unknown_from_spec,[],[],implemented,[],False,https://learn.microsoft.com/gaming/gdk/docs/reference/system/initializeapiimpl,False,[],"[{""number"": 11, ""title"": ""GDK Integration Progress."", ""url"": ""https://github.com/xodus-gaming/xgameruntime/issues/11""}]",runtime_export
0,1000,runtime,main.c,,,,,,QueryApiImpl,export QueryApiImpl(ptr ptr ptr),unknown_from_spec,[],[],implemented,[],False,,False,[],"[{""number"": 11, ""title"": ""GDK Integration Progress."", ""url"": ""https://github.com/xodus-gaming/xgameruntime/issues/11""}]",runtime_export
0,1000,runtime,xgameruntime.spec,,,,,,UninitializeApiImpl,export UninitializeApiImpl(),unknown_from_spec,[],[],not_found_in_current_source,[],False,,False,[],"[{""number"": 11, ""title"": ""GDK Integration Progress."", ""url"": ""https://github.com/xodus-gaming/xgameruntime/issues/11""}]",runtime_export
0,1000,runtime,xgameruntime.spec,,,,,,XErrorReport,export XErrorReport(long str),unknown_from_spec,[],[],not_found_in_current_source,[],False,,False,[],"[{""number"": 11, ""title"": ""GDK Integration Progress."", ""url"": ""https://github.com/xodus-gaming/xgameruntime/issues/11""}]",runtime_export
1,920,XPersistentLocalStorage,xpersistentlocalstorage.idl,IXPersistentLocalStorageImpl,f4faf4d4-2d04-4fce-b3e0-474a713a3e84,1,IUnknown,3,XPersistentLocalStorageGetPathSize,HRESULT XPersistentLocalStorageGetPathSize([out] SIZE_T * pathSize),HRESULT,"[{""name"": ""pathSize"", ""type"": ""SIZE_T *"", ""ctype"": ""SIZE_T *"", ""attributes"": [""out""], ""in_param"": false, ""out_param"": true, ""optional"": false, ""string"": false, ""size_is"": null, ""length_is"": null, ""array"": null, ""sensitive"": false}]",[],stubbed_or_incomplete,"[{""kind"": ""FIXME"", ""file"": ""xpersistentlocalstorage.c"", ""line"": 81, ""text"": ""FIXME( \""iface %p, pathSize %p stub!\\n\"", iface, pathSize );""}, {""kind"": ""stub"", ""file"": ""xpersistentlocalstorage.c"", ""line"": 81, ""text"": ""FIXME( \""iface %p, pathSize %p stub!\\n\"", iface, pathSize );""}, {""kind"": ""E_NOTIMPL"", ""file"": ""xpersistentlocalstorage.c"", ""line"": 82, ""text"": ""return E_NOTIMPL;""}]",False,https://learn.microsoft.com/gaming/gdk/docs/reference/system/xpersistentlocalstorage/functions/xpersistentlocalstoragegetpathsize,False,[],"[{""number"": 11, ""title"": ""GDK Integration Progress."", ""url"": ""https://github.com/xodus-gaming/xgameruntime/issues/11""}]",interface_method
1,920,XPersistentLocalStorage,xpersistentlocalstorage.idl,IXPersistentLocalStorageImpl,f4faf4d4-2d04-4fce-b3e0-474a713a3e84,1,IUnknown,4,XPersistentLocalStorageGetPath,"HRESULT XPersistentLocalStorageGetPath([in] SIZE_T pathSize, [out, string, size_is(pathSize)] char * path, [out, optional] SIZE_T * pathUsed)",HRESULT,"[{""name"": ""pathSize"", ""type"": ""SIZE_T"", ""ctype"": ""SIZE_T"", ""attributes"": [""in""], ""in_param"": true, ""out_param"": false, ""optional"": false, ""string"": false, ""size_is"": null, ""length_is"": null, ""array"": null, ""sensitive"": false}, {""name"": ""path"", ""type"": ""char *"", ""ctype"": ""char *"", ""attributes"": [""out"", ""string"", ""size_is(pathSize)""], ""in_param"": false, ""out_param"": true, ""optional"": false, ""string"": true, ""size_is"": ""pathSize"", ""length_is"": null, ""array"": null, ""sensitive"": false}, {""name"": ""pathUsed"", ""type"": ""SIZE_T *"", ""ctype"": ""SIZE_T *"", ""attributes"": [""out"", ""optional""], ""in_param"": false, ""out_param"": true, ""optional"": true, ""string"": false, ""size_is"": null, ""length_is"": null, ""array"": null, ""sensitive"": false}]",[],stubbed_or_incomplete,"[{""kind"": ""FIXME"", ""file"": ""xpersistentlocalstorage.c"", ""line"": 75, ""text"": ""FIXME( \""iface %p, pathSize %Iu, path %p, pathUsed %p stub!\\n\"", iface, pathSize, path, pathUsed );""}, {""kind"": ""stub"", ""file"": ""xpersistentlocalstorage.c"", ""line"": 75, ""text"": ""FIXME( \""iface %p, pathSize %Iu, path %p, pathUsed %p stub!\\n\"", iface, pathSize, path, pathUsed );""}, {""kind"": ""E_NOTIMPL"", ""file"": ""xpersistentlocalstorage.c"", ""line"": 76, ""text"": ""return E_NOTIMPL;""}]",False,https://learn.microsoft.com/gaming/gdk/docs/reference/system/xpersistentlocalstorage/functions/xpersistentlocalstoragegetpath,False,[],"[{""number"": 11, ""title"": ""GDK Integration Progress."", ""url"": ""https://github.com/xodus-gaming/xgameruntime/issues/11""}]",interface_method
1,920,XPersistentLocalStorage,xpersistentlocalstorage.idl,IXPersistentLocalStorageImpl,f4faf4d4-2d04-4fce-b3e0-474a713a3e84,1,IUnknown,5,XPersistentLocalStorageGetSpaceInfo,HRESULT XPersistentLocalStorageGetSpaceInfo([out] XPersistentLocalStorageSpaceInfo * info),HRESULT,"[{""name"": ""info"", ""type"": ""XPersistentLocalStorageSpaceInfo *"", ""ctype"": ""XPersistentLocalStorageSpaceInfo *"", ""attributes"": [""out""], ""in_param"": false, ""out_param"": true, ""optional"": false, ""string"": false, ""size_is"": null, ""length_is"": null, ""array"": null, ""sensitive"": false}]",[],stubbed_or_incomplete,"[{""kind"": ""FIXME"", ""file"": ""xpersistentlocalstorage.c"", ""line"": 87, ""text"": ""FIXME( \""iface %p, info %p stub!\\n\"", iface, info );""}, {""kind"": ""stub"", ""file"": ""xpersistentlocalstorage.c"", ""line"": 87, ""text"": ""FIXME( \""iface %p, info %p stub!\\n\"", iface, info );""}, {""kind"": ""E_NOTIMPL"", ""file"": ""xpersistentlocalstorage.c"", ""line"": 88, ""text"": ""return E_NOTIMPL;""}]",False,https://learn.microsoft.com/gaming/gdk/docs/reference/system/xpersistentlocalstorage/functions/xpersistentlocalstoragegetspaceinfo,False,[],"[{""number"": 11, ""title"": ""GDK Integration Progress."", ""url"": ""https://github.com/xodus-gaming/xgameruntime/issues/11""}]",interface_method
